chr	START	END	Gen name	Score	strand	ATG	STOP
chrIV	1489403	1489492	YDR524W-C		+	1489403	1489492
chrXII	838066	839253	YLR355C		-	839253	838066
chrXII	369697	370098	YLR110C		-	370098	369697
chrVII	882812	883810	YGR192C		-	883810	882812
chrVII	479910	482666	YGL008C		-	482666	479910
chrXI	326408	327487	YKL060C		-	327487	326408
chrXIII	24037	25800	YML123C		-	25800	24037
chrXII	232390	234081	YLR044C		-	234081	232390
chrI	71786	73288	YAL038W		+	71786	73288
chrIV	1489598	1489798	YDR524C-B		-	1489798	1489598
chrX	73787	74611	YJL191W		+	73787	74611
chrVII	310967	311927	YGL103W		+	310967	311927
chrVIII	451327	452640	YHR174W		+	451327	452640
chrXII	282927	283592	YLR075W		+	282927	283592
chrXV	444686	445849	YOR063W		+	444686	445849
chrXVI	404950	406044	YPL081W		+	404950	406044
chrX	453683	454681	YJR009C		-	454681	453683
chrXV	159548	160594	YOL086C		-	160594	159548
chrIV	555726	556472	YDR050C		-	556472	555726
chrX	120449	121690	YJL159W		+	120449	121690
chrXI	163642	164385	YKL152C		-	164385	163642
chrIV	355674	356759	YDL055C		-	356759	355674
chrXV	1028194	1028625	YOR369C		-	1028625	1028194
chrXII	636780	639914	YLR249W		+	636780	639914
chrIII	137746	138996	YCR012W		+	137746	138996
chrVIII	35255	36025	YHL033C		-	36025	35255
chrXIV	499681	500256	YNL067W		+	499681	500256
chrVII	482941	483027	YGL007C-A		-	483027	482941
chrIV	914317	914712	YDR224C		-	914712	914317
chrXIV	352414	352530	YNL145W		+	352414	352530
chrIV	130407	130484	YDL184C		-	130484	130407
chrI	73426	73518	YAL037C-A		-	73518	73426
chrV	86179	86598	YEL033W		+	86179	86598
chrIII	162599	162865	YCR024C-B		-	162865	162599
chrXIII	499456	500688	YMR116C		-	500688	499456
chrIV	221724	221801	YDL133C-A		-	221801	221724
chrIII	162945	163067	YCR024C-A		-	163067	162945
chrXIV	575640	576050	YNL031C		-	576050	575640
chrXVI	432588	434090	YPL061W		+	432588	434090
chrIV	915530	915928	YDR225W		+	915530	915928
chrII	235394	235792	YBL003C		-	235792	235394
chrV	67629	68792	YEL046C		-	68792	67629
chrIV	579458	580452	YDR064W		+	579458	580452
chrXV	110297	110638	YOL109W		+	110297	110638
